0,234992220354806
1,157684178212589
2,134936708372774
3,205381656500012
4,236176841009523
5,130142270569717
6,235550861880054
7,230799420021470
8,232321065375987
9,230749778328477
10,204911343266667
11,165860320078749
12,169014020946740
13,157140462812382
14,125745298258867
15,130693146490742
16,164698934398190
17,169587519175413
18,157071984715629
19,204954158644467
20,235007387560868
21,235678475700084
22,121339915430259
23,134540478765350
24,200899038930734
25,192255444334966
26,155842577557750
27,161411826366812
28,169014034389342
29,120864470153059
30,204882352224478
31,231366209269083
32,239475375959387
33,169793589537564
34,130693114812843
35,134540497664421
36,204882352225500
37,169151713701276
38,227975317867428
39,157071999129326
40,169793558113627
41,230749759556517
42,125247396404515
43,169156995140518
44,195615840717726
45,130057579752172
46,164761049450293
47,195615840398110
48,230799419763614
49,199934576871150
