0,MALAT1
1,TMSB4X
2,B2M
3,S100A9
4,EEF1A1
5,FTL
6,RPL10
7,MTCO1P12
8,RPL13
9,RPLP1
10,RPL41
11,RPL34
12,RPS18
13,RPS12
14,RPS27
15,S100A8
16,RPS14
17,RPS19
18,TPT1
19,ACTB
20,RPL32
21,RPS6
22,RPL11
23,RPS27A
24,RPS2
25,RPS15A
26,TMSB10
27,RPL39
28,RPL19
29,RPS3
30,RPL28
31,RPS8
32,RPL13A
33,RPS4X
34,RPLP2
35,RPL21
36,RPL18A
37,RPL35A
38,RPS15
39,MTATP6P1
40,RPS3A
41,RPS13
42,RPS24
43,RPS9
44,RPL3
45,RPL26
46,FOS
47,RPL8
48,RPL12
49,RPS29
